relative_time,BrightnessEV
0,-0.7882339570595895
66,-0.7960819897448361
133,-0.8150653414107696
200,-0.8077889933539623
266,-0.8246628119183584
332,-0.8513952177289119
400,-0.8992911406574523
466,-0.9259256921493219
533,-0.9428371868612417
600,-0.950001960990986
666,1.909824484474909
732,3.9316459905753627
800,4.523201352330023
866,5.2223997805884705
932,5.223145433543408
1000,5.225045939144527
1066,5.220783394995318
1132,5.219437366732609
1200,5.220997880720226
1266,5.2221601224599254
1332,3.2441721943049795
1400,-1.602848283719516
1466,-1.2578635699849572
1532,-1.2005912741580858
1600,-1.1238917743849197
1666,-1.135691499364991
1732,-1.1494332338841227
1800,-1.154030945622551
1866,-1.1540195685743408
1932,-1.159828405246501
2000,-1.1597793214652292
2066,1.7790900077835106
2133,2.7819496619227513
2200,4.416327436482659
2266,4.905816002635044
2333,-1.3865796012512215
2400,-1.2743500823343337
2466,-1.1748682812603932
2532,-1.173520043119783
2600,-1.1742451780153753
2666,-1.1667478191862917
2733,-1.1672745466443097
2800,-1.1729738943018413
2866,-1.1792807679126736
2932,-1.168990460085604
3000,-1.1695793667203798
3066,1.7480023299994134
3132,3.771983565543644
3200,4.39782412250672
3266,5.229640586830089
3332,5.225639756566791
3400,5.224121167532933
3466,5.220783394995318
3532,5.219437366732609
3600,5.220997880720226
3666,5.2221601224599254
3732,3.1960779061039344
3800,-1.6095274393571428
3866,-1.3282528978763553
3932,-1.2463949637712106
4000,1.9721432608710505
4066,2.984442525821494
4132,3.990644233529639
4200,5.183053208504041
4266,-1.3933687669138604
4332,-1.2838461250186768
4400,-1.1803907895423271
4466,1.9350663756785096
4532,2.912172239331332
4600,3.918962875563528
4666,5.161669306960152
4732,-1.4378313009749177
4799,-1.2784364180043382
4866,-1.183903121747249
4932,-1.179135210222908
5000,-1.1796298098520261
5066,-1.183264716872599
5132,-1.1874425701117912
5200,-1.1818547115765
5266,-1.1873865520392874
5332,-1.1826343743457164
5400,-1.1803057733134381
5467,1.7480023299994134
5532,3.771983565543644
5600,4.39782412250672
5666,5.229640586830089
5732,5.221670854363845
5800,5.225045939144527
5866,5.225715690537549
5932,5.219437366732609
6000,5.220997880720226
6066,5.2221601224599254
6132,3.146324870906835
6200,-1.6293813541657762
6266,-1.3479583072239139
6332,-1.2617701896581266
6400,1.965626276143261
6466,2.977869871898008
6532,3.9840111411971915
6600,3.1975050807383263
6666,-1.3025153364627469
6732,-1.219374101162501
6800,-1.1858195235281215
6866,1.9510698125542927
6933,2.9263395712579254
7000,3.9348342682064104
7066,5.167136124492429
7132,-1.417992553882683
7200,-1.2549774451803493
7266,-1.1972632564403312
7332,-1.1852647639107983
7400,-1.1901690840554098
7466,-1.1872328913030668
7532,-1.1928753266027399
7600,-1.187180873237443
7666,-1.1926939439379645
7732,-1.1878427814160974
7800,-1.1882920092076426
7866,1.750800963352087
7932,3.7748319278526745
7999,4.400915913617756
8066,5.226662249275783
8132,5.225639756566791
8200,5.224121167532933
8266,5.225715690537549
8332,5.219437366732609
